County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
DALLAS COUNTY,A W BROWN LEADERSHIP ACADEMY,48113,57816,115.6,218.4,2084.0,76.79,170.87,1383.0
DALLAS COUNTY,A+ ACADEMY,48113,57829,86.58,192.28,1409.0,92.87,213.39,1456.0
HARRIS COUNTY,A+ UNLIMITED POTENTIAL,48201,101871,7.67,10.34,180.0,6.91,13.61,152.0
HILL COUNTY,ABBOTT ISD,48217,109901,24.25,40.0,277.0,25.13,41.72,274.0
HALE COUNTY,ABERNATHY ISD,48189,95901,68.0,124.97,780.0,72.55,124.29,810.0
TAYLOR COUNTY,ABILENE ISD,48441,221901,1090.71,2481.36,16645.0,1110.18,2543.38,15680.0
DALLAS COUNTY,ACADEMY FOR ACADEMIC EXCELLENCE,48113,57814,54.96,93.57,505.0,56.0,95.0,308.0
BELL COUNTY,ACADEMY ISD,48027,14901,113.6,214.33,1652.0,125.91,250.28,1726.0
HARRIS COUNTY,ACADEMY OF ACCELERATED LEARNING INC,48201,101810,40.41,66.59,742.0,46.65,74.01,851.0
DALLAS COUNTY,ACADEMY OF DALLAS,48113,57810,27.08,57.34,487.0,21.85,39.35,341.0
HARRIS COUNTY,ACCELERATED INTERMEDIATE ACADEMY,48201,101849,19.0,24.0,248.0,14.99,18.99,235.0
OLDHAM COUNTY,ADRIAN ISD,48359,180903,18.15,30.97,117.0,17.22,32.48,122.0
DALLAS COUNTY,ADVANTAGE ACADEMY,48113,57806,88.69,177.0,1689.0,57.3,128.6,1207.0
NUECES COUNTY,AGUA DULCE ISD,48355,178901,32.95,56.0,346.0,33.5,63.47,406.0
BEXAR COUNTY,ALAMO HEIGHTS ISD,48029,15901,344.53,602.95,4864.0,354.58,630.33,4846.0
WOOD COUNTY,ALBA-GOLDEN ISD,48499,250906,79.4,140.64,900.0,82.71,146.34,861.0
SHACKELFORD COUNTY,ALBANY ISD,48417,209901,44.85,83.41,495.0,43.22,77.97,503.0
HARRIS COUNTY,ALDINE ISD,48201,101902,4128.18,9075.37,66854.0,4243.82,9204.84,63302.0
PARKER COUNTY,ALEDO ISD,48367,184907,354.71,655.06,6129.0,407.3,719.74,6723.0
JIM WELLS COUNTY,ALICE ISD,48249,125901,302.04,717.53,4940.0,307.11,727.45,4676.0
HARRIS COUNTY,ALIEF ISD,48201,101903,3259.99,6350.39,45436.0,3276.07,6461.03,41724.0
HARRIS COUNTY,ALIEF MONTESSORI COMMUNITY SCHOOL,48201,101815,14.95,36.27,305.0,16.76,38.82,331.0
COLLIN COUNTY,ALLEN ISD,48085,43901,1350.86,2469.23,21557.0,1370.19,2560.63,21617.0
BREWSTER COUNTY,ALPINE ISD,48043,22901,87.13,184.74,1014.0,77.14,171.19,974.0
CHEROKEE COUNTY,ALTO ISD,48073,37901,58.27,101.22,664.0,57.76,104.11,609.0
JOHNSON COUNTY,ALVARADO ISD,48251,126901,228.93,446.09,3635.0,238.66,467.67,3565.0
BRAZORIA COUNTY,ALVIN ISD,48039,20901,1700.43,3424.87,25945.0,1824.85,3555.68,27006.0
WISE COUNTY,ALVORD ISD,48497,249901,57.44,111.68,727.0,61.95,115.73,709.0
POTTER COUNTY,AMARILLO ISD,48375,188901,2193.75,4163.42,32829.0,2213.46,4206.25,31388.0
GALVESTON COUNTY,AMBASSADORS PREPARATORY ACADEMY,48167,84804,20.67,45.84,323.0,22.81,50.06,246.0
LAMB COUNTY,AMHERST ISD,48279,140901,18.99,30.94,142.0,19.0,32.11,133.0
HARRIS COUNTY,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,48201,101819,24.88,50.96,494.0,30.81,56.28,502.0
CHAMBERS COUNTY,ANAHUAC ISD,48071,36901,95.71,186.96,1325.0,98.97,193.87,1326.0
GRIMES COUNTY,ANDERSON-SHIRO CISD,48185,93901,67.69,124.44,879.0,71.85,130.41,887.0
ANDREWS COUNTY,ANDREWS ISD,48003,2901,264.19,508.27,4319.0,287.18,559.88,4128.0
BRAZORIA COUNTY,ANGLETON ISD,48039,20902,400.16,864.18,6767.0,440.01,983.72,6863.0
COLLIN COUNTY,ANNA ISD,48085,43902,246.18,482.93,3597.0,282.3,574.71,3979.0
JONES COUNTY,ANSON ISD,48253,127901,68.96,123.1,749.0,72.0,124.46,708.0
EL PASO COUNTY,ANTHONY ISD,48141,71906,57.82,127.46,843.0,60.01,148.22,787.0
HOCKLEY COUNTY,ANTON ISD,48219,110901,19.75,34.21,199.0,21.46,36.27,184.0
TRINITY COUNTY,APPLE SPRINGS ISD,48455,228905,18.42,35.6,202.0,19.17,38.87,206.0
HILL COUNTY,AQUILLA ISD,48217,109912,25.87,49.84,335.0,27.72,49.27,319.0
ARANSAS COUNTY,ARANSAS COUNTY ISD,48007,4901,214.93,467.53,2829.0,217.46,452.82,3010.0
SAN PATRICIO COUNTY,ARANSAS PASS ISD,48409,205901,113.56,263.43,1556.0,109.9,257.11,1645.0
ARCHER COUNTY,ARCHER CITY ISD,48009,5901,44.94,88.18,505.0,47.85,93.02,502.0
DENTON COUNTY,ARGYLE ISD,48121,61910,196.71,351.9,3061.0,258.87,444.1,3795.0
HARRIS COUNTY,ARISTOI CLASSICAL ACADEMY,48201,101803,60.88,96.97,911.0,72.69,120.76,1072.0
TARRANT COUNTY,ARLINGTON CLASSICS ACADEMY,48439,220802,92.38,144.66,1550.0,91.5,149.85,1542.0
TARRANT COUNTY,ARLINGTON ISD,48439,220901,4100.64,8211.83,59900.0,4114.71,8169.15,56840.0
SMITH COUNTY,ARP ISD,48423,212901,75.45,145.16,869.0,77.22,151.85,876.0
BRAZOS COUNTY,ARROW ACADEMY,48041,21805,46.01,76.17,706.0,44.04,75.21,691.0
STONEWALL COUNTY,ASPERMONT ISD,48433,217901,19.44,39.86,224.0,20.22,39.99,213.0
HENDERSON COUNTY,ATHENS ISD,48213,107901,193.45,395.04,3011.0,194.16,418.13,2982.0
CASS COUNTY,ATLANTA ISD,48067,34901,132.55,311.58,1725.0,132.59,329.71,1848.0
DENTON COUNTY,AUBREY ISD,48121,61907,158.1,257.02,2442.0,172.24,300.39,2644.0
TRAVIS COUNTY,AUSTIN ACHIEVE PUBLIC SCHOOLS,48453,227825,97.83,180.45,1556.0,132.24,285.18,2183.0
TRAVIS COUNTY,AUSTIN DISCOVERY SCHOOL,48453,227821,48.5,64.63,508.0,42.77,56.62,433.0
TRAVIS COUNTY,AUSTIN ISD,48453,227901,5539.62,11104.58,80032.0,5508.22,10945.22,74871.0
REFUGIO COUNTY,AUSTWELL-TIVOLI ISD,48391,196901,17.23,29.79,140.0,20.17,38.31,137.0
ELLIS COUNTY,AVALON ISD,48139,70901,32.26,58.3,362.0,28.74,55.86,332.0
RED RIVER COUNTY,AVERY ISD,48387,194902,32.3,62.42,340.0,33.49,67.93,322.0
CASS COUNTY,AVINGER ISD,48067,34902,17.24,27.87,153.0,17.65,28.38,140.0
MARION COUNTY,AXTELL ISD,48309,161918,76.35,156.24,825.0,75.5,143.22,772.0
TARRANT COUNTY,AZLE ISD,48439,220915,414.76,857.18,6578.0,446.28,870.1,6685.0
CALLAHAN COUNTY,BAIRD ISD,48059,30903,34.39,58.59,283.0,30.12,57.62,281.0
RUNNELS COUNTY,BALLINGER ISD,48399,200901,77.54,150.17,906.0,79.18,157.42,854.0
REEVES COUNTY,BALMORHEA ISD,48389,195902,19.54,39.58,186.0,19.12,38.88,155.0
BANDERA COUNTY,BANDERA ISD,48019,10902,148.28,291.49,2234.0,148.57,304.44,2218.0
BROWN COUNTY,BANGS ISD,48049,25901,76.48,146.22,902.0,70.61,135.44,837.0
NUECES COUNTY,BANQUETE ISD,48355,178913,80.59,156.77,876.0,81.47,140.44,855.0
CHAMBERS COUNTY,BARBERS HILL ISD,48071,36902,396.17,811.31,5732.0,477.19,969.85,6424.0
BELL COUNTY,BARTLETT ISD,48027,14902,25.46,58.46,343.0,32.34,63.18,380.0
BEXAR COUNTY,BASIS TEXAS,48029,15834,142.46,143.46,2597.0,192.83,235.0,3048.0
BASTROP COUNTY,BASTROP ISD,48021,11901,697.59,1158.47,11081.0,735.75,1291.1,11405.0
MCLENNAN COUNTY,BAY CITY ISD,48321,158901,237.06,536.59,3670.0,239.72,560.62,3536.0
HARRIS COUNTY,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,48201,101847,32.0,48.09,462.0,31.87,46.87,470.0
JEFFERSON COUNTY,BEAUMONT ISD,48245,123910,1134.75,2349.54,18470.0,1139.63,2393.3,17128.0
PANOLA COUNTY,BECKVILLE ISD,48365,183901,63.74,102.71,700.0,67.72,107.44,673.0
BEE COUNTY,BEEVILLE ISD,48025,13901,201.86,447.65,3330.0,201.7,461.69,3157.0
CLAY COUNTY,BELLEVUE ISD,48077,39904,16.75,30.68,130.0,16.37,31.89,145.0
GRAYSON COUNTY,BELLS ISD,48181,91901,70.23,119.32,895.0,70.22,122.54,868.0
AUSTIN COUNTY,BELLVILLE ISD,48015,8901,163.73,354.74,2238.0,171.88,343.85,2196.0
BELL COUNTY,BELTON ISD,48027,14903,750.06,1589.25,11885.0,868.14,1873.34,12609.0
JIM WELLS COUNTY,BEN BOLT-PALITO BLANCO ISD,48249,125902,44.0,74.0,515.0,40.65,76.6,521.0
DUVAL COUNTY,BENAVIDES ISD,48131,66901,27.03,58.04,319.0,25.65,54.37,255.0
KNOX COUNTY,BENJAMIN ISD,48275,138904,15.33,23.57,118.0,14.83,23.91,131.0
HARRIS COUNTY,BETA ACADEMY,48201,101870,31.87,67.13,655.0,63.73,135.89,1205.0
BEXAR COUNTY,BEXAR COUNTY ACADEMY,48029,15809,29.14,52.41,349.0,29.55,58.54,274.0
UPSHUR COUNTY,BIG SANDY ISD,48459,230901,69.3,179.89,708.0,62.45,119.33,643.0
HOWARD COUNTY,BIG SPRING ISD,48227,114901,257.55,540.58,4035.0,268.91,566.4,3698.0
REAL COUNTY,BIG SPRINGS CHARTER SCHOOL,48385,193801,21.73,59.22,227.0,21.91,49.14,235.0
TARRANT COUNTY,BIRDVILLE ISD,48439,220902,1540.33,3002.47,23614.0,1548.05,3019.96,22736.0
NUECES COUNTY,BISHOP CISD,48355,178902,105.12,183.1,1524.0,110.24,197.33,1556.0
NOLAN COUNTY,BLACKWELL CISD,48353,177903,22.1,42.37,152.0,22.18,42.62,168.0
BLANCO COUNTY,BLANCO ISD,48031,16902,77.82,149.87,1011.0,80.78,154.37,1011.0
HUNT COUNTY,BLAND ISD,48231,116915,54.53,105.06,721.0,62.01,115.84,724.0
BROWN COUNTY,BLANKET ISD,48049,25904,20.69,36.26,167.0,18.23,31.58,143.0
CASS COUNTY,BLOOMBURG ISD,48067,34909,24.51,49.71,272.0,23.92,50.16,250.0
NAVARRO COUNTY,BLOOMING GROVE ISD,48349,175902,71.51,137.15,930.0,74.96,141.11,897.0
VICTORIA COUNTY,BLOOMINGTON ISD,48469,235901,60.42,134.14,890.0,63.01,151.27,887.0
COLLIN COUNTY,BLUE RIDGE ISD,48085,43917,60.35,110.95,852.0,67.29,123.97,888.0
ERATH COUNTY,BLUFF DALE ISD,48143,72904,19.21,32.93,237.0,19.84,38.97,224.0
HILL COUNTY,BLUM ISD,48217,109913,27.95,61.46,363.0,29.86,58.01,365.0
JEFFERSON COUNTY,BOB HOPE SCHOOL,48245,123807,84.93,177.34,1451.0,125.9,286.58,2385.0
KENDALL COUNTY,BOERNE ISD,48259,130901,566.36,1073.96,9170.0,631.24,1198.13,9617.0
HUNT COUNTY,BOLES ISD,48231,116916,48.2,94.86,547.0,47.53,103.51,497.0
WHARTON COUNTY,BOLING ISD,48481,241901,72.0,140.58,1161.0,72.0,145.04,1101.0
FANNIN COUNTY,BONHAM ISD,48147,74903,131.54,323.57,1887.0,138.24,322.91,1796.0
LIPSCOMB COUNTY,BOOKER ISD,48295,148901,38.36,69.86,396.0,39.73,72.58,362.0
BORDEN COUNTY,BORDEN COUNTY ISD,48033,17901,20.1,45.89,214.0,21.87,51.3,231.0
HUTCHINSON COUNTY,BORGER ISD,48233,117901,192.09,439.51,2694.0,194.8,453.08,2472.0
MARION COUNTY,BOSQUEVILLE ISD,48309,161923,57.93,101.66,699.0,59.79,109.93,729.0
PARMER COUNTY,BOVINA ISD,48369,185901,45.15,87.63,500.0,44.47,87.46,465.0
MONTAGUE COUNTY,BOWIE ISD,48337,169901,122.29,250.73,1716.0,125.73,252.2,1693.0
WISE COUNTY,BOYD ISD,48497,249902,94.75,170.37,1341.0,93.34,175.43,1267.0
OLDHAM COUNTY,BOYS RANCH ISD,48359,180901,54.83,84.01,309.0,55.62,86.72,206.0
KINNEY COUNTY,BRACKETT ISD,48271,136901,57.81,116.13,560.0,58.88,113.54,519.0
MADISON COUNTY,BRADY ISD,48307,160901,98.97,205.09,1146.0,88.3,187.1,991.0
AUSTIN COUNTY,BRAZOS ISD,48015,8903,62.35,121.78,827.0,64.43,128.53,795.0
SOMERVELL COUNTY,BRAZOS RIVER CHARTER SCHOOL,48425,213801,15.5,34.68,238.0,19.32,38.98,207.0
BRAZOS COUNTY,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,48041,21803,30.0,55.07,411.0,29.21,55.05,327.0
BRAZORIA COUNTY,BRAZOSPORT ISD,48039,20905,843.51,1760.56,12417.0,874.71,1842.33,11424.0
STEPHENS COUNTY,BRECKENRIDGE ISD,48429,215901,110.24,227.22,1481.0,99.87,229.69,1402.0
ROBERTSON COUNTY,BREMOND ISD,48395,198901,40.43,79.15,487.0,41.88,78.81,494.0
WASHINGTON COUNTY,BRENHAM ISD,48477,239901,366.19,695.77,5062.0,377.9,707.65,4944.0
ORANGE COUNTY,BRIDGE CITY ISD,48361,181901,192.56,360.34,3057.0,191.4,367.44,3028.0
WISE COUNTY,BRIDGEPORT ISD,48497,249903,161.2,319.67,2078.0,163.61,333.09,2051.0
SAN AUGUSTINE COUNTY,BROADDUS ISD,48405,203902,37.05,70.54,396.0,35.73,70.64,351.0
PARKER COUNTY,BROCK ISD,48367,184909,106.5,184.87,1510.0,129.07,219.38,1765.0
COKE COUNTY,BRONTE ISD,48081,41901,25.58,44.36,243.0,28.0,47.18,240.0
SABINE COUNTY,BROOKELAND ISD,48403,121902,38.92,72.13,394.0,37.92,69.42,368.0
BROWN COUNTY,BROOKESMITH ISD,48049,25908,15.51,34.49,165.0,18.0,33.95,158.0
BEXAR COUNTY,BROOKS ACADEMIES OF TEXAS,48029,15830,177.71,323.83,3322.0,195.92,396.41,3079.0
BROOKS COUNTY,BROOKS COUNTY ISD,48047,24901,102.61,217.89,1568.0,102.61,214.46,1438.0
TERRY COUNTY,BROWNFIELD ISD,48445,223901,124.73,274.87,1730.0,125.57,288.66,1598.0
HENDERSON COUNTY,BROWNSBORO ISD,48213,107902,189.8,399.69,2734.0,193.96,401.71,2593.0
CAMERON COUNTY,BROWNSVILLE ISD,48061,31901,2911.52,6618.26,44402.0,2753.73,6265.69,40765.0
BROWN COUNTY,BROWNWOOD ISD,48049,25902,262.07,500.03,3655.0,256.96,486.37,3439.0
MARION COUNTY,BRUCEVILLE-EDDY ISD,48309,161919,69.57,138.28,645.0,66.15,132.9,614.0
BRAZOS COUNTY,BRYAN ISD,48041,21902,1142.26,2439.12,15938.0,1198.97,2619.49,15761.0
JACK COUNTY,BRYSON ISD,48237,119901,21.88,41.11,253.0,21.13,41.32,260.0
MILAM COUNTY,BUCKHOLTS ISD,48331,166907,14.43,29.11,133.0,13.73,30.57,141.0
PECOS COUNTY,BUENA VISTA ISD,48371,186901,18.26,30.0,255.0,19.95,33.0,240.0
LEON COUNTY,BUFFALO ISD,48289,145901,77.89,150.42,945.0,79.8,155.68,947.0
CHEROKEE COUNTY,BULLARD ISD,48073,212902,200.68,366.06,2587.0,204.38,396.42,2675.0
JASPER COUNTY,BUNA ISD,48241,121903,126.21,274.43,1495.0,121.96,274.09,1492.0
WICHITA COUNTY,BURKBURNETT ISD,48485,243901,244.86,476.72,3227.0,255.64,486.61,3199.0
NEWTON COUNTY,BURKEVILLE ISD,48351,176901,22.85,57.25,276.0,25.73,55.04,269.0
JOHNSON COUNTY,BURLESON ISD,48251,126902,779.55,1549.58,12447.0,813.31,1587.08,12547.0
BURNET COUNTY,BURNET CISD,48053,27903,214.23,465.61,3201.0,217.48,477.51,3113.0
EL PASO COUNTY,BURNHAM WOOD CHARTER SCHOOL DISTRICT,48141,71801,50.77,90.57,850.0,70.57,142.86,1252.0
WASHINGTON COUNTY,BURTON ISD,48477,239903,39.01,72.23,437.0,44.99,81.83,481.0
POTTER COUNTY,BUSHLAND ISD,48375,188904,120.51,194.49,1427.0,118.91,193.07,1448.0
HILL COUNTY,BYNUM ISD,48217,109902,17.37,37.1,207.0,21.5,40.5,195.0
HUNT COUNTY,CADDO MILLS ISD,48231,116901,135.57,245.91,1841.0,149.36,278.63,1992.0
NUECES COUNTY,CALALLEN ISD,48355,178903,289.4,595.31,4051.0,283.24,589.74,3956.0
BURLESON COUNTY,CALDWELL ISD,48051,26901,127.79,240.01,1762.0,135.43,279.93,1708.0
CALHOUN COUNTY,CALHOUN COUNTY ISD,48057,29901,263.89,543.76,3846.0,261.06,548.03,3681.0
COOKE COUNTY,CALLISBURG ISD,48097,49905,85.04,177.6,1152.0,83.29,146.03,1131.0
ROBERTSON COUNTY,CALVERT ISD,48395,198902,16.0,32.37,166.0,17.81,33.8,143.0
HARRIS COUNTY,CALVIN NELMS CHARTER SCHOOLS,48201,101837,19.27,27.9,322.0,17.24,26.33,300.0
MILAM COUNTY,CAMERON ISD,48331,166901,129.82,258.18,1783.0,121.73,249.94,1631.0
HUNT COUNTY,CAMPBELL ISD,48231,116910,28.41,53.93,304.0,27.9,58.65,287.0
HEMPHILL COUNTY,CANADIAN ISD,48211,106901,83.55,147.0,906.0,85.34,150.91,877.0
VAN ZANDT COUNTY,CANTON ISD,48467,234902,149.9,251.95,2176.0,154.62,255.71,2134.0
EL PASO COUNTY,CANUTILLO ISD,48141,71907,417.85,911.71,6246.0,419.87,924.15,6035.0
RANDALL COUNTY,CANYON ISD,48381,191901,626.2,1168.89,10166.0,639.55,1223.03,10324.0
RUSK COUNTY,CARLISLE ISD,48401,201913,54.84,105.28,618.0,59.54,118.54,612.0
DIMMIT COUNTY,CARRIZO SPRINGS CISD,48127,64903,148.04,351.52,2219.0,149.42,352.76,2066.0
TARRANT COUNTY,CARROLL ISD,48439,220919,538.91,1049.79,8366.0,578.39,1076.18,8324.0
DALLAS COUNTY,CARROLLTON-FARMERS BRANCH ISD,48113,57903,1710.69,3321.59,25598.0,1696.16,3357.62,24858.0
PANOLA COUNTY,CARTHAGE ISD,48365,183902,184.51,306.76,2708.0,185.98,322.83,2653.0
TARRANT COUNTY,CASTLEBERRY ISD,48439,220917,243.02,520.64,3783.0,234.0,518.65,3617.0
ANDERSON COUNTY,CAYUGA ISD,48001,1902,49.73,115.48,564.0,47.56,121.05,535.0
DALLAS COUNTY,CEDAR HILL ISD,48113,57904,470.31,918.54,7790.0,458.14,879.82,7253.0
TRAVIS COUNTY,CEDARS INTERNATIONAL ACADEMY,48453,227817,40.02,66.28,548.0,38.83,68.36,496.0
HUNT COUNTY,CELESTE ISD,48231,116902,46.45,83.97,507.0,46.18,90.06,494.0
COLLIN COUNTY,CELINA ISD,48085,43903,176.11,351.57,2722.0,198.12,399.63,2962.0
SHELBY COUNTY,CENTER ISD,48419,210901,203.97,377.95,2629.0,204.12,398.51,2477.0
KERR COUNTY,CENTER POINT ISD,48265,133901,40.62,89.23,569.0,43.51,98.5,534.0
LEON COUNTY,CENTERVILLE ISD,48289,145902,58.15,108.29,656.0,62.21,116.62,646.0
NACOGDOCHES COUNTY,CENTRAL HEIGHTS ISD,48347,174908,84.12,142.34,1181.0,92.93,191.48,1131.0
ANGELINA COUNTY,CENTRAL ISD,48005,3907,115.96,230.44,1465.0,117.41,244.78,1445.0
HARRIS COUNTY,CHANNELVIEW ISD,48201,101905,547.05,1251.42,9593.0,572.53,1332.98,9572.0
HARTLEY COUNTY,CHANNING ISD,48205,103901,19.36,32.53,182.0,18.0,31.64,168.0
TRAVIS COUNTY,CHAPARRAL STAR ACADEMY,48453,227814,27.02,30.99,388.0,26.82,32.0,370.0
TARRANT COUNTY,CHAPEL HILL ACADEMY,48439,220815,41.14,63.16,647.0,53.71,82.78,763.0
SMITH COUNTY,CHAPEL HILL ISD,48423,212909,248.61,516.39,3536.0,254.69,539.31,3416.0
ATASCOSA COUNTY,CHARLOTTE ISD,48013,7901,45.5,89.0,471.0,46.49,90.36,419.0
SAN SABA COUNTY,CHEROKEE ISD,48411,206903,18.11,29.01,114.0,17.76,28.61,131.0
TYLER COUNTY,CHESTER ISD,48457,229906,18.11,33.57,195.0,22.07,39.14,211.0
WISE COUNTY,CHICO ISD,48497,249904,51.59,90.54,603.0,51.49,92.02,588.0
CHILDRESS COUNTY,CHILDRESS ISD,48075,38901,91.02,178.57,1096.0,90.36,179.87,997.0
HARDEMAN COUNTY,CHILLICOTHE ISD,48197,99902,19.69,41.77,200.0,21.17,43.08,207.0
FALLS COUNTY,CHILTON ISD,48145,73901,37.97,81.95,528.0,38.2,84.61,529.0
MARION COUNTY,CHINA SPRING ISD,48309,161920,195.19,358.95,2809.0,208.98,392.88,2870.0
NACOGDOCHES COUNTY,CHIRENO ISD,48347,174901,29.0,49.0,396.0,33.98,55.99,394.0
LAMAR COUNTY,CHISUM ISD,48277,139905,78.28,138.26,944.0,91.21,159.8,1062.0
TOM GREEN COUNTY,CHRISTOVAL ISD,48451,226901,45.44,79.23,550.0,47.21,75.29,566.0
EASTLAND COUNTY,CISCO ISD,48133,67902,84.34,155.57,866.0,84.63,160.2,839.0
WICHITA COUNTY,CITY VIEW ISD,48485,243906,83.65,166.51,1064.0,86.32,185.35,1023.0
DALLAS COUNTY,CITYSCAPE SCHOOLS,48113,57841,35.12,86.41,878.0,51.0,133.41,1204.0
DONLEY COUNTY,CLARENDON ISD,48129,65901,44.77,86.41,462.0,47.84,88.5,441.0
RED RIVER COUNTY,CLARKSVILLE ISD,48387,194904,37.32,101.8,534.0,38.24,103.99,481.0
ARMSTRONG COUNTY,CLAUDE ISD,48011,6902,35.22,58.16,359.0,30.18,51.58,316.0
GALVESTON COUNTY,CLEAR CREEK ISD,48167,84910,2531.87,5150.26,42205.0,2543.03,5357.37,40737.0
JOHNSON COUNTY,CLEBURNE ISD,48251,126903,472.27,937.44,6684.0,486.73,991.46,6859.0
LIBERTY COUNTY,CLEVELAND ISD,48291,146901,421.68,778.51,6584.0,555.92,1110.31,8888.0
BOSQUE COUNTY,CLIFTON ISD,48035,18901,80.0,153.29,1002.0,77.59,160.6,961.0
EL PASO COUNTY,CLINT ISD,48141,71901,654.46,1448.35,11388.0,689.82,1531.29,10663.0
CALLAHAN COUNTY,CLYDE CISD,48059,30902,110.77,217.37,1455.0,108.48,223.4,1397.0
HOWARD COUNTY,COAHOMA ISD,48227,114902,79.41,171.82,1111.0,79.0,170.98,1095.0
SAN JACINTO COUNTY,COLDSPRING-OAKHURST CISD,48407,204901,108.61,267.36,1567.0,116.88,278.96,1533.0
COLEMAN COUNTY,COLEMAN ISD,48083,42901,78.45,172.21,869.0,70.2,156.31,842.0
BRAZOS COUNTY,COLLEGE STATION ISD,48041,21901,965.44,1869.69,13540.0,1014.05,1947.06,13664.0
GRAYSON COUNTY,COLLINSVILLE ISD,48181,91902,42.76,75.44,528.0,44.94,84.77,539.0
TYLER COUNTY,COLMESNEIL ISD,48457,229901,37.5,64.16,484.0,41.59,66.14,435.0
MITCHELL COUNTY,COLORADO ISD,48335,168901,65.38,143.93,947.0,66.59,144.98,901.0
BRAZORIA COUNTY,COLUMBIA-BRAZORIA ISD,48039,20907,199.72,429.16,3037.0,203.27,456.52,2873.0
COLORADO COUNTY,COLUMBUS ISD,48089,45902,119.14,220.84,1544.0,122.58,228.12,1536.0
COMAL COUNTY,COMAL ISD,48091,46902,1498.72,2827.79,23935.0,1617.95,3106.09,25459.0
COMANCHE COUNTY,COMANCHE ISD,48093,47901,112.81,226.83,1314.0,108.09,216.83,1318.0
KENDALL COUNTY,COMFORT ISD,48259,130902,92.07,158.16,1102.0,87.79,153.14,1064.0
HUNT COUNTY,COMMERCE ISD,48231,116903,112.71,233.38,1520.0,121.71,250.94,1462.0
COLLIN COUNTY,COMMUNITY ISD,48085,43918,160.85,309.26,2385.0,171.49,329.88,2757.0
HOPKINS COUNTY,COMO-PICKTON CISD,48223,112908,63.99,119.33,742.0,63.24,119.9,709.0
ECTOR COUNTY,COMPASS ACADEMY CHARTER SCHOOL,48135,68802,66.01,89.99,1116.0,77.04,108.15,1322.0
BEXAR COUNTY,COMPASS ROSE ACADEMY,48029,15838,14.06,23.92,193.0,50.75,113.84,1154.0
