County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
HARRIS COUNTY,COMQUEST ACADEMY,48201,101842,4.71,10.71,62.0,2.23,7.92,38.0
VAL VERDE COUNTY,COMSTOCK ISD,48465,233903,17.73,30.11,199.0,18.57,32.97,231.0
MARION COUNTY,CONNALLY ISD,48309,161921,175.61,369.03,2364.0,186.09,389.01,2342.0
MONTGOMERY COUNTY,CONROE ISD,48339,170902,3820.15,7726.91,62837.0,4110.6,8248.42,64563.0
LIMESTONE COUNTY,COOLIDGE ISD,48293,147901,29.0,50.81,309.0,29.37,52.25,309.0
DELTA COUNTY,COOPER ISD,48119,60902,62.56,127.04,812.0,66.08,124.74,806.0
DALLAS COUNTY,COPPELL ISD,48113,57922,792.14,1319.82,12925.0,859.83,1448.42,13052.0
CORYELL COUNTY,COPPERAS COVE ISD,48099,50910,540.24,1201.68,8271.0,564.09,1270.48,8052.0
NUECES COUNTY,CORPUS CHRISTI ISD,48355,178904,2239.4,4640.16,37318.0,2232.46,4631.43,34511.0
NUECES COUNTY,CORPUS CHRISTI MONTESSORI SCHOOL,48355,178807,9.17,17.97,135.0,7.63,17.63,116.0
POLK COUNTY,CORRIGAN-CAMDEN ISD,48373,187904,71.36,163.87,822.0,65.94,152.42,789.0
NAVARRO COUNTY,CORSICANA ISD,48349,175903,416.41,870.95,6004.0,416.1,865.69,6059.0
HALE COUNTY,COTTON CENTER ISD,48189,95902,15.01,29.64,125.0,14.06,30.85,96.0
LA SALLE COUNTY,COTULLA ISD,48283,142901,110.14,248.7,1347.0,111.89,262.14,1265.0
WILLIAMSON COUNTY,COUPLAND ISD,48491,246914,13.13,22.2,169.0,12.84,23.77,173.0
HILL COUNTY,COVINGTON ISD,48217,109903,23.06,76.78,295.0,23.58,82.73,276.0
KAUFMAN COUNTY,CRANDALL ISD,48257,129901,277.25,515.55,4420.0,327.05,623.55,4868.0
CRANE COUNTY,CRANE ISD,48103,52901,81.78,148.9,1151.0,87.05,172.18,1099.0
BOSQUE COUNTY,CRANFILLS GAP ISD,48035,18908,15.32,27.73,133.0,15.21,29.67,129.0
MARION COUNTY,CRAWFORD ISD,48309,161901,51.01,86.11,585.0,52.51,88.35,561.0
CROCKETT COUNTY,CROCKETT COUNTY CONSOLIDATED CSD,48105,53001,62.16,129.2,777.0,66.36,134.78,764.0
HOUSTON COUNTY,CROCKETT ISD,48225,113901,96.44,200.33,1345.0,100.46,198.82,1273.0
HARRIS COUNTY,CROSBY ISD,48201,101906,407.8,827.74,6331.0,395.01,737.54,6337.0
CROSBY COUNTY,CROSBYTON CISD,48107,54901,37.76,67.63,367.0,34.75,63.9,316.0
CALLAHAN COUNTY,CROSS PLAINS ISD,48059,30901,36.68,66.36,340.0,35.75,65.59,363.0
HENDERSON COUNTY,CROSS ROADS ISD,48213,107904,54.68,102.33,558.0,52.85,99.54,528.0
FOARD COUNTY,CROWELL ISD,48155,78901,21.2,41.05,209.0,21.39,49.11,202.0
TARRANT COUNTY,CROWLEY ISD,48439,220912,1065.48,1865.53,15728.0,1149.24,1937.18,15731.0
ZAVALA COUNTY,CRYSTAL CITY ISD,48507,254901,121.06,333.71,1936.0,112.89,307.14,1838.0
DEWITT COUNTY,CUERO ISD,48123,62901,152.2,332.64,1989.0,160.1,344.72,1911.0
CULBERSON COUNTY,CULBERSON COUNTY-ALLAMOORE ISD,48109,55901,32.14,59.34,378.0,33.6,73.73,387.0
SMITH COUNTY,CUMBERLAND ACADEMY,48423,212801,148.22,230.47,1949.0,161.96,250.96,1961.0
HOPKINS COUNTY,CUMBY ISD,48223,112905,35.94,68.49,386.0,40.29,70.2,420.0
NACOGDOCHES COUNTY,CUSHING ISD,48347,174902,39.23,72.74,557.0,40.5,78.85,576.0
HARRIS COUNTY,CYPRESS-FAIRBANKS ISD,48201,101907,7261.92,14819.75,116512.0,7659.35,15496.08,114881.0
MEDINA COUNTY,D'HANIS ISD,48325,163902,35.37,66.54,368.0,34.28,62.16,315.0
MORRIS COUNTY,DAINGERFIELD-LONE STAR ISD,48343,172902,83.6,191.76,1037.0,85.8,198.92,1057.0
DALLAM COUNTY,DALHART ISD,48111,56901,127.22,209.98,1737.0,132.38,221.66,1632.0
DALLAS COUNTY,DALLAS ISD,48113,57905,10000.9,20435.2,155119.0,10265.92,21286.79,145113.0
BRAZORIA COUNTY,DAMON ISD,48039,20910,15.0,31.19,156.0,12.0,23.9,115.0
BRAZORIA COUNTY,DANBURY ISD,48039,20904,54.12,100.62,801.0,62.22,110.38,759.0
LIPSCOMB COUNTY,DARROUZETT ISD,48295,148905,13.25,25.07,118.0,16.68,31.77,139.0
NAVARRO COUNTY,DAWSON ISD,48349,175904,38.0,78.46,512.0,43.0,96.51,509.0
LIBERTY COUNTY,DAYTON ISD,48291,146902,338.56,723.24,5418.0,344.79,750.32,5480.0
COMANCHE COUNTY,DE LEON ISD,48093,47902,53.31,119.83,741.0,55.43,133.0,739.0
WISE COUNTY,DECATUR ISD,48497,249905,224.01,439.92,3413.0,232.2,462.3,3429.0
HARRIS COUNTY,DEER PARK ISD,48201,101908,818.98,1804.55,12937.0,814.96,1887.67,12370.0
BOWIE COUNTY,DEKALB ISD,48037,19901,69.39,129.37,800.0,70.0,128.99,759.0
TRAVIS COUNTY,DEL VALLE ISD,48453,227910,811.95,1673.8,10870.0,801.62,1724.98,10654.0
HUDSPETH COUNTY,DELL CITY ISD,48229,115903,10.55,22.91,72.0,10.84,24.32,71.0
GRAYSON COUNTY,DENISON ISD,48181,91903,335.28,581.53,4724.0,341.6,622.72,4591.0
DENTON COUNTY,DENTON ISD,48121,61901,2241.69,3872.44,30169.0,2375.1,4127.77,30267.0
YOAKUM COUNTY,DENVER CITY ISD,48501,251901,120.12,243.32,1703.0,121.74,256.73,1638.0
DALLAS COUNTY,DESOTO ISD,48113,57906,669.06,1238.21,9404.0,487.68,976.29,7929.0
RED RIVER COUNTY,DETROIT ISD,48387,194905,52.64,127.4,542.0,48.47,127.05,516.0
LIBERTY COUNTY,DEVERS ISD,48291,146903,13.86,26.16,176.0,13.4,25.87,205.0
MEDINA COUNTY,DEVINE ISD,48325,163901,137.84,284.71,1985.0,136.28,290.86,1984.0
FREESTONE COUNTY,DEW ISD,48161,81906,16.0,29.93,155.0,18.99,36.19,164.0
NEWTON COUNTY,DEWEYVILLE ISD,48351,176903,49.71,89.16,579.0,47.85,96.61,534.0
ANGELINA COUNTY,DIBOLL ISD,48005,3905,139.29,299.71,1880.0,139.69,297.92,1714.0
GALVESTON COUNTY,DICKINSON ISD,48167,84901,768.84,1520.25,11162.0,834.22,1658.98,11631.0
FRIO COUNTY,DILLEY ISD,48163,82902,75.89,167.85,995.0,74.51,171.69,894.0
LEE COUNTY,DIME BOX ISD,48287,144903,17.01,30.68,153.0,16.28,31.13,160.0
CASTRO COUNTY,DIMMITT ISD,48069,35901,106.12,265.92,1231.0,103.9,262.76,1182.0
FANNIN COUNTY,DODD CITY ISD,48147,74904,30.48,48.31,384.0,27.95,48.03,337.0
HIDALGO COUNTY,DONNA ISD,48215,108902,1028.85,2394.73,14459.0,972.93,2234.23,13853.0
NACOGDOCHES COUNTY,DOUGLASS ISD,48347,174911,37.98,55.81,466.0,41.29,61.21,457.0
NUECES COUNTY,DR M L GARZA-GONZALEZ CHARTER SCHOOL,48355,178801,14.0,30.25,210.0,16.1,35.42,221.0
HARRIS COUNTY,DRAW ACADEMY,48201,101856,33.0,75.66,649.0,34.01,79.82,707.0
HAYS COUNTY,DRIPPING SPRINGS ISD,48209,105904,450.07,893.29,6873.0,500.85,969.12,7283.0
NUECES COUNTY,DRISCOLL ISD,48355,178905,24.84,50.78,306.0,25.12,50.81,289.0
ERATH COUNTY,DUBLIN ISD,48143,72902,102.31,215.22,1209.0,89.81,189.95,1093.0
MOORE COUNTY,DUMAS ISD,48341,171901,319.55,639.39,4300.0,323.88,676.17,4170.0
DALLAS COUNTY,DUNCANVILLE ISD,48113,57907,801.29,1686.53,12700.0,823.68,1786.05,11748.0
TARRANT COUNTY,EAGLE MT-SAGINAW ISD,48439,220918,1224.57,2334.7,20054.0,1407.17,2662.14,21245.0
MCMULLEN COUNTY,EAGLE PASS ISD,48323,159901,852.62,1936.81,14561.0,826.54,1865.69,14028.0
TRAVIS COUNTY,EANES ISD,48453,227909,599.69,1123.6,8132.0,605.44,1084.62,7968.0
BROWN COUNTY,EARLY ISD,48049,25909,102.11,195.17,1192.0,105.59,201.08,1141.0
WHARTON COUNTY,EAST BERNARD ISD,48481,241902,81.9,128.78,951.0,85.89,128.01,931.0
BEXAR COUNTY,EAST CENTRAL ISD,48029,15911,602.46,1316.57,10041.0,604.85,1255.33,9770.0
CHAMBERS COUNTY,EAST CHAMBERS ISD,48071,36903,106.0,198.07,1511.0,114.87,213.72,1509.0
TARRANT COUNTY,EAST FORT WORTH MONTESSORI ACADEMY,48439,220811,18.77,37.44,302.0,13.82,29.82,220.0
EASTLAND COUNTY,EASTLAND ISD,48133,67903,88.47,163.34,1134.0,91.47,170.22,1072.0
ECTOR COUNTY,ECTOR COUNTY ISD,48135,68901,1916.76,3656.03,33268.0,1952.95,3833.38,31881.0
FANNIN COUNTY,ECTOR ISD,48147,74905,22.84,44.17,260.0,23.84,51.59,256.0
HIDALGO COUNTY,EDCOUCH-ELSA ISD,48215,108903,320.19,759.29,4935.0,310.33,752.64,4538.0
CONCHO COUNTY,EDEN CISD,48095,48901,18.16,36.97,218.0,18.76,39.12,232.0
VAN ZANDT COUNTY,EDGEWOOD ISD,48467,234903,78.01,144.08,993.0,80.12,151.99,963.0
HIDALGO COUNTY,EDINBURG CISD,48215,108904,2273.47,4718.95,34121.0,2244.39,4640.25,32797.0
JACKSON COUNTY,EDNA ISD,48239,120901,115.02,227.27,1567.0,118.32,233.95,1483.0
DALLAS COUNTY,EDUCATION CENTER INTERNATIONAL ACADEMY,48113,57833,45.8,71.55,595.0,47.0,68.75,543.0
JEFFERSON COUNTY,EHRHART SCHOOL,48245,123805,30.7,48.97,430.0,35.58,54.03,484.0
WHARTON COUNTY,EL CAMPO ISD,48481,241903,236.83,496.86,3682.0,233.44,501.6,3530.0
EL PASO COUNTY,EL PASO ISD,48141,71902,3899.89,7852.52,57315.0,3730.52,7753.47,50661.0
EL PASO COUNTY,EL PASO LEADERSHIP ACADEMY,48141,71810,14.94,26.48,207.0,14.0,24.8,210.0
BEXAR COUNTY,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,48029,15836,24.2,34.22,337.0,31.78,47.44,466.0
WICHITA COUNTY,ELECTRA ISD,48485,243902,42.22,78.37,420.0,44.21,81.64,441.0
BASTROP COUNTY,ELGIN ISD,48021,11902,286.76,628.38,4457.0,297.63,674.42,4628.0
ANDERSON COUNTY,ELKHART ISD,48001,1903,106.0,185.22,1255.0,102.2,183.69,1200.0
HARRISON COUNTY,ELYSIAN FIELDS ISD,48203,102906,72.94,142.35,916.0,73.84,144.53,846.0
ELLIS COUNTY,ENNIS ISD,48139,70903,382.27,708.18,5850.0,397.23,752.64,5836.0
COOKE COUNTY,ERA ISD,48097,49906,37.56,61.32,485.0,36.62,63.24,472.0
NACOGDOCHES COUNTY,ETOILE ISD,48347,174910,13.9,26.42,131.0,12.0,29.15,91.0
CALLAHAN COUNTY,EULA ISD,48059,30906,40.02,76.4,441.0,42.13,76.77,454.0
HENDERSON COUNTY,EUSTACE ISD,48213,107905,122.65,254.69,1566.0,123.79,279.95,1592.0
JASPER COUNTY,EVADALE ISD,48241,121906,42.37,76.86,447.0,38.23,75.96,389.0
CORYELL COUNTY,EVANT ISD,48099,50901,21.5,46.14,234.0,23.13,48.9,273.0
TARRANT COUNTY,EVERMAN ISD,48439,220904,370.64,805.24,6174.0,409.17,878.09,5648.0
HARRIS COUNTY,EXCEL ACADEMY,48201,101811,38.01,84.61,444.0,28.0,56.8,206.0
HIDALGO COUNTY,EXCELLENCE IN LEADERSHIP ACADEMY,48215,108809,18.43,36.02,242.0,21.01,39.01,300.0
SHELBY COUNTY,EXCELSIOR ISD,48419,210906,10.74,20.85,89.0,10.73,21.45,71.0
LAVACA COUNTY,EZZELL ISD,48285,143906,8.52,15.53,92.0,8.12,15.69,77.0
EL PASO COUNTY,FABENS ISD,48141,71903,165.01,352.73,2239.0,150.74,336.58,2048.0
FREESTONE COUNTY,FAIRFIELD ISD,48161,81902,146.33,281.28,1814.0,139.89,279.42,1703.0
KARNES COUNTY,FALLS CITY ISD,48255,128904,33.22,57.35,363.0,33.09,65.28,408.0
FANNIN COUNTY,FANNINDEL ISD,48147,60914,17.5,39.47,168.0,17.0,42.0,159.0
COLLIN COUNTY,FARMERSVILLE ISD,48085,43904,114.44,209.97,1717.0,126.92,246.39,1884.0
PARMER COUNTY,FARWELL ISD,48369,185902,55.87,99.67,552.0,58.33,102.94,543.0
FAYETTE COUNTY,FAYETTEVILLE ISD,48149,75906,19.79,36.44,251.0,22.9,42.44,274.0
ELLIS COUNTY,FERRIS ISD,48139,70905,190.73,408.64,2709.0,202.69,439.35,2586.0
FAYETTE COUNTY,FLATONIA ISD,48149,75901,56.4,95.15,603.0,55.05,98.76,602.0
WILLIAMSON COUNTY,FLORENCE ISD,48491,246902,81.95,169.06,1086.0,84.9,178.62,1075.0
WILSON COUNTY,FLORESVILLE ISD,48493,247901,246.53,550.26,4057.0,248.67,515.16,3992.0
NUECES COUNTY,FLOUR BLUFF ISD,48355,178914,370.27,761.06,5693.0,360.66,727.47,5553.0
FLOYD COUNTY,FLOYDADA ISD,48153,77901,64.79,135.51,738.0,61.33,132.77,705.0
LIPSCOMB COUNTY,FOLLETT ISD,48295,148902,18.81,33.73,133.0,18.25,32.94,170.0
MONTAGUE COUNTY,FORESTBURG ISD,48337,169910,20.18,33.3,173.0,22.38,36.12,163.0
KAUFMAN COUNTY,FORNEY ISD,48257,129902,651.93,1205.31,11133.0,783.51,1460.23,12765.0
HOWARD COUNTY,FORSAN ISD,48227,114904,56.12,102.13,771.0,61.44,110.71,777.0
FORT BEND COUNTY,FORT BEND ISD,48157,79907,4661.58,9979.58,76122.0,5054.75,10695.87,76735.0
WHEELER COUNTY,FORT ELLIOTT CISD,48483,242906,17.99,37.03,136.0,17.51,36.86,144.0
PECOS COUNTY,FORT STOCKTON ISD,48371,186902,174.97,368.52,2469.0,182.64,379.26,2310.0
TARRANT COUNTY,FORT WORTH ACADEMY OF FINE ARTS,48439,220809,48.38,72.81,577.0,51.37,84.91,635.0
TARRANT COUNTY,FORT WORTH ISD,48439,220905,5778.24,11029.04,84510.0,5488.23,10648.11,76858.0
ROBERTSON COUNTY,FRANKLIN ISD,48395,198903,104.91,291.07,1249.0,108.55,220.66,1257.0
ANDERSON COUNTY,FRANKSTON ISD,48001,1904,64.47,129.62,804.0,65.4,132.6,769.0
GILLESPIE COUNTY,FREDERICKSBURG ISD,48171,86901,216.84,454.28,3126.0,232.22,479.06,3101.0
DUVAL COUNTY,FREER ISD,48131,66903,60.58,130.42,822.0,60.29,139.01,783.0
LUBBOCK COUNTY,FRENSHIP ISD,48303,152907,660.05,1201.88,9955.0,685.98,1235.46,10353.0
GALVESTON COUNTY,FRIENDSWOOD ISD,48167,84911,371.6,728.9,6070.0,384.5,781.8,6119.0
PARMER COUNTY,FRIONA ISD,48369,185903,100.05,216.92,1136.0,101.51,214.58,1086.0
COLLIN COUNTY,FRISCO ISD,48085,43905,4070.54,7048.17,60182.0,4388.91,7620.06,63493.0
NAVARRO COUNTY,FROST ISD,48349,175905,38.21,67.87,429.0,36.75,68.9,434.0
VAN ZANDT COUNTY,FRUITVALE ISD,48467,234909,36.48,79.03,425.0,34.48,83.09,430.0
JEFF DAVIS COUNTY,FT DAVIS ISD,48243,122901,24.71,42.51,228.0,21.95,39.66,197.0
HUDSPETH COUNTY,FT HANCOCK ISD,48229,115901,36.77,82.95,397.0,35.16,82.1,409.0
BEXAR COUNTY,FT SAM HOUSTON ISD,48029,15914,132.01,289.34,1590.0,133.47,300.09,1501.0
COOKE COUNTY,GAINESVILLE ISD,48097,49901,207.15,396.85,3195.0,206.6,395.56,3057.0
HARRIS COUNTY,GALENA PARK ISD,48201,101910,1358.81,3220.01,22289.0,1404.4,3225.69,21918.0
GALVESTON COUNTY,GALVESTON ISD,48167,84902,444.5,1017.87,7019.0,485.98,1067.14,6698.0
JACKSON COUNTY,GANADO ISD,48239,120902,60.66,113.3,774.0,60.16,112.62,713.0
DALLAS COUNTY,GARLAND ISD,48113,57909,3668.21,7306.72,55987.0,3609.3,7223.55,53921.0
PARKER COUNTY,GARNER ISD,48367,184911,14.02,29.01,201.0,16.27,37.17,216.0
NACOGDOCHES COUNTY,GARRISON ISD,48347,174903,61.54,129.6,708.0,58.9,94.81,691.0
PANOLA COUNTY,GARY ISD,48365,183904,40.35,71.6,468.0,43.09,75.22,472.0
CORYELL COUNTY,GATESVILLE ISD,48099,50902,201.97,398.04,2744.0,203.65,410.52,2790.0
DALLAS COUNTY,GATEWAY CHARTER ACADEMY,48113,57831,40.34,71.43,758.0,33.21,55.89,783.0
MILAM COUNTY,GAUSE ISD,48331,166902,14.83,28.88,166.0,14.94,27.93,167.0
BEXAR COUNTY,GEORGE GERVIN ACADEMY,48029,15802,60.75,139.34,1054.0,56.93,108.97,870.0
HARRIS COUNTY,GEORGE I SANCHEZ CHARTER,48201,101804,63.42,145.0,972.0,66.68,146.5,993.0
LIVE OAK COUNTY,GEORGE WEST ISD,48297,149901,78.68,169.16,1079.0,79.85,175.87,1033.0
WILLIAMSON COUNTY,GEORGETOWN ISD,48491,246904,857.61,1667.64,11759.0,940.41,1813.86,11866.0
MARION COUNTY,GHOLSON ISD,48309,161925,17.23,39.31,250.0,19.94,38.39,218.0
LEE COUNTY,GIDDINGS ISD,48287,144901,140.33,236.68,1871.0,143.2,241.2,1914.0
UPSHUR COUNTY,GILMER ISD,48459,230902,171.39,375.3,2493.0,201.37,442.12,2510.0
GREGG COUNTY,GLADEWATER ISD,48183,92901,145.6,295.88,1799.0,146.18,301.42,1755.0
GLASSCOCK COUNTY,GLASSCOCK COUNTY ISD,48173,87901,34.21,68.73,305.0,34.65,70.91,293.0
SOMERVELL COUNTY,GLEN ROSE ISD,48425,213901,137.06,261.15,1857.0,144.48,273.05,1921.0
JOHNSON COUNTY,GODLEY ISD,48251,126911,160.37,373.36,2181.0,190.92,451.45,2443.0
MONTAGUE COUNTY,GOLD BURG ISD,48337,169906,15.48,24.5,138.0,14.83,27.91,133.0
DALLAS COUNTY,GOLDEN RULE CHARTER SCHOOL,48113,57835,95.81,186.12,1532.0,115.44,228.09,1554.0
MILLS COUNTY,GOLDTHWAITE ISD,48333,167901,61.91,128.16,559.0,59.13,124.2,515.0
GOLIAD COUNTY,GOLIAD ISD,48175,88902,92.93,198.57,1330.0,99.64,222.96,1271.0
GONZALES COUNTY,GONZALES ISD,48177,89901,182.11,413.15,2872.0,182.21,412.45,2654.0
POLK COUNTY,GOODRICH ISD,48373,187903,17.99,45.39,241.0,19.4,49.79,254.0
WILLIAMSON COUNTY,GOODWATER MONTESSORI SCHOOL,48491,246802,13.8,34.45,349.0,17.16,41.17,342.0
HARRIS COUNTY,GOOSE CREEK CISD,48201,101911,1534.02,3384.26,23837.0,1604.14,3525.99,23318.0
PALO PINTO COUNTY,GORDON ISD,48363,182901,17.36,30.54,189.0,18.65,33.51,220.0
EASTLAND COUNTY,GORMAN ISD,48133,67904,27.95,74.79,304.0,30.43,80.04,276.0
MAVERICK COUNTY,GRADY ISD,48317,156905,20.65,39.0,255.0,20.71,41.77,226.0
PALO PINTO COUNTY,GRAFORD ISD,48363,182902,33.26,55.88,347.0,32.0,56.79,316.0
YOUNG COUNTY,GRAHAM ISD,48503,252901,167.86,334.47,2376.0,166.49,333.49,2279.0
HOOD COUNTY,GRANBURY ISD,48221,111901,467.2,891.69,7346.0,507.85,968.43,7469.0
DALLAS COUNTY,GRAND PRAIRIE ISD,48113,57910,1899.92,3795.44,29200.0,1858.38,3701.97,28230.0
VAN ZANDT COUNTY,GRAND SALINE ISD,48467,234904,76.99,171.35,1127.0,81.52,177.95,1115.0
WARD COUNTY,GRANDFALLS-ROYALTY ISD,48475,238904,15.66,27.01,182.0,17.9,34.79,166.0
JOHNSON COUNTY,GRANDVIEW ISD,48251,126904,93.95,153.9,1274.0,101.17,168.1,1342.0
GRAY COUNTY,GRANDVIEW-HOPKINS ISD,48179,90905,5.5,12.92,50.0,5.56,12.45,38.0
WILLIAMSON COUNTY,GRANGER ISD,48491,246905,37.0,68.44,446.0,38.12,73.9,449.0
TOM GREEN COUNTY,GRAPE CREEK ISD,48451,226907,93.42,173.59,1172.0,95.64,171.57,1099.0
HOUSTON COUNTY,GRAPELAND ISD,48225,113902,46.15,84.8,573.0,47.96,102.11,605.0
TARRANT COUNTY,GRAPEVINE-COLLEYVILLE ISD,48439,220906,962.39,1875.06,13941.0,1003.2,1919.31,13935.0
BEXAR COUNTY,GREAT HEARTS TEXAS,48029,15835,200.6,365.47,3615.0,326.13,638.01,6642.0
HUNT COUNTY,GREENVILLE ISD,48231,116905,356.25,722.62,5492.0,364.2,702.58,5277.0
MIDLAND COUNTY,GREENWOOD ISD,48329,165902,171.07,288.38,2844.0,203.61,355.9,2845.0
SAN PATRICIO COUNTY,GREGORY-PORTLAND ISD,48409,205902,318.39,636.08,4673.0,325.58,632.31,4720.0
LIMESTONE COUNTY,GROESBECK ISD,48293,147902,123.64,264.07,1687.0,119.7,261.56,1522.0
CARSON COUNTY,GROOM ISD,48065,33901,18.39,30.42,163.0,18.64,32.89,137.0
TRINITY COUNTY,GROVETON ISD,48455,228901,63.88,133.4,739.0,66.35,141.42,762.0
HANSFORD COUNTY,GRUVER ISD,48195,98901,46.86,86.04,459.0,46.49,88.51,439.0
GRAYSON COUNTY,GUNTER ISD,48181,91917,92.01,226.81,969.0,98.49,256.51,1024.0
COMANCHE COUNTY,GUSTINE ISD,48093,47903,17.45,33.87,148.0,18.51,38.9,150.0
KING COUNTY,GUTHRIE CSD,48269,135001,19.59,32.0,106.0,18.98,31.6,127.0
HALE COUNTY,HALE CENTER ISD,48189,95903,53.43,106.66,647.0,53.73,106.43,618.0
LAVACA COUNTY,HALLETTSVILLE ISD,48285,143901,79.73,164.71,1131.0,82.58,167.37,1116.0
MARION COUNTY,HALLSBURG ISD,48309,161924,11.0,21.71,171.0,11.97,22.72,164.0
HARRISON COUNTY,HALLSVILLE ISD,48203,102904,363.04,692.46,9486.0,375.99,736.08,15267.0
HAMILTON COUNTY,HAMILTON ISD,48193,97902,74.5,132.77,832.0,78.02,133.56,792.0
JONES COUNTY,HAMLIN COLLEGIATE ISD,48253,127903,31.36,60.65,395.0,32.38,70.84,443.0
JEFFERSON COUNTY,HAMSHIRE-FANNETT ISD,48245,123914,132.39,227.95,1934.0,140.28,249.15,1897.0
SWISHER COUNTY,HAPPY ISD,48437,219901,25.32,45.5,259.0,26.44,47.96,269.0
LIBERTY COUNTY,HARDIN ISD,48291,146904,103.05,202.2,1430.0,110.93,223.95,1225.0
HARDIN COUNTY,HARDIN-JEFFERSON ISD,48199,100905,161.74,306.58,2341.0,168.22,341.73,2481.0
BEXAR COUNTY,HARLANDALE ISD,48029,15904,964.87,2111.62,14086.0,953.06,2170.89,12522.0
HARRISON COUNTY,HARLETON ISD,48203,102905,62.7,119.45,716.0,64.98,125.15,714.0
CAMERON COUNTY,HARLINGEN CISD,48061,31903,1249.88,2786.93,18620.0,1241.85,2744.47,17882.0
UPSHUR COUNTY,HARMONY ISD,48459,230905,86.26,162.19,1097.0,90.53,175.25,1025.0
HARRIS COUNTY,HARMONY SCHOOL OF EXCELLENCE,48201,101858,333.01,539.03,5026.0,355.71,598.29,5987.0
HARRIS COUNTY,HARMONY SCHOOL OF SCIENCE - HOUSTON,48201,101862,236.22,387.35,3782.0,242.87,412.42,3992.0
EL PASO COUNTY,HARMONY SCIENCE ACAD (EL PASO),48141,71806,249.41,386.0,3565.0,260.5,441.37,4141.0
BEXAR COUNTY,HARMONY SCIENCE ACAD (SAN ANTONIO),48029,15828,296.11,494.55,4512.0,297.4,515.06,4436.0
FORT BEND COUNTY,HARMONY SCIENCE ACADEMY,48157,101846,222.4,385.02,3312.0,227.62,393.76,3677.0
TRAVIS COUNTY,HARMONY SCIENCE ACADEMY (AUSTIN),48453,227816,264.26,431.75,4025.0,270.38,455.84,4517.0
GILLESPIE COUNTY,HARPER ISD,48171,86902,50.14,91.22,578.0,49.64,89.78,554.0
WILBARGER COUNTY,HARROLD ISD,48487,244901,14.19,22.4,107.0,14.2,23.75,107.0
CASTRO COUNTY,HART ISD,48069,35902,25.5,55.55,213.0,19.84,43.32,212.0
HARTLEY COUNTY,HARTLEY ISD,48205,103902,21.05,40.5,223.0,20.51,41.04,236.0
TITUS COUNTY,HARTS BLUFF ISD,48449,225907,42.42,81.02,633.0,56.81,106.71,700.0
HASKELL COUNTY,HASKELL CISD,48207,104901,65.56,114.78,566.0,63.66,110.8,550.0
